ingredient,pairing,level,page
APPLES,"apricots: dried, jam, puree",recommended,60
APPLES,Armagnac,normal,60
APPLES,bacon,normal,60
APPLES,bay leaf,normal,60
APPLES,beef,normal,60
APPLES,blackberries,normal,60
APPLES,bourbon,normal,60
APPLES,"brandy, esp. apple",recommended,60
APPLES,brioche,normal,60
APPLES,"BUTTER, UNSALTED",very_highly_recommended,60
APPLES,butterscotch,normal,60
APPLES,"cabbage, red",normal,60
APPLES,CALVADOS,very_highly_recommended,60
APPLES,CARAMEL,very_highly_recommended,60
APPLES,cardamom,normal,60
APPLES,celery,normal,60
APPLES,celery root,normal,60
APPLES,"cheese: Camembert, cheddar, goat, Gruyère",recommended,60
APPLES,"cherries: dried, fresh",normal,60
APPLES,chestnuts,normal,60
APPLES,chicken,normal,60
APPLES,chives,normal,60
APPLES,cider,normal,60
APPLES,CINNAMON,holy_grail,60
APPLES,cloves,recommended,60
APPLES,cognac,recommended,60
APPLES,Cointreau,normal,60
APPLES,coriander,normal,60
APPLES,cranberries,normal,60
APPLES,CREAM AND ICE CREAM,very_highly_recommended,60
APPLES,crème anglaise (sauce),normal,60
APPLES,crème fraîche,normal,60
APPLES,"crust: pastry, pie",normal,60
APPLES,cumin,normal,60
APPLES,"currants, esp. black, and currant jelly",normal,60
APPLES,curry powder,normal,60
APPLES,custards,recommended,60
APPLES,dates,normal,60
APPLES,duck,normal,60
APPLES,eggplant,normal,60
APPLES,fennel,normal,60
APPLES,"French cuisine, esp. from Normandy",normal,60
APPLES,frisée,normal,60
APPLES,ginger,recommended,61
APPLES,people already eat these combinations unconsciously.,normal,61
APPLES,off the oyster.,normal,61
APPLES,goose,normal,61
APPLES,hazelnuts,normal,61
APPLES,"honey, esp. chestnut, wildflower",recommended,61
APPLES,horseradish,normal,61
APPLES,ice cream,normal,61
APPLES,Kirsch,recommended,61
APPLES,lavender,normal,62
APPLES,"LEMON: JUICE, ZEST",very_highly_recommended,62
APPLES,lemon thyme,normal,62
APPLES,lychees,normal,62
APPLES,Madeira,recommended,62
APPLES,maple syrup,normal,62
APPLES,mayonnaise,normal,62
APPLES,meringue,normal,62
APPLES,molasses,normal,62
APPLES,mustard,normal,62
APPLES,nutmeg,recommended,62
APPLES,nuts,normal,62
APPLES,oatmeal and oats,normal,62
APPLES,"oil: canola, hazelnut, walnut",normal,62
APPLES,olive oil,normal,62
APPLES,"onions, esp. green, red",normal,62
APPLES,"orange: juice, zest",normal,62
APPLES,parsley,normal,62
APPLES,peanuts and peanut butter,normal,62
APPLES,pears,normal,62
APPLES,pecans,recommended,62
APPLES,"pepper, black",normal,62
APPLES,pies,normal,62
APPLES,pineapple,normal,62
APPLES,pine nuts,recommended,62
APPLES,pistachios,normal,62
APPLES,plums,normal,62
APPLES,pomegranates,normal,62
APPLES,pork,recommended,62
APPLES,poultry,normal,62
APPLES,prunes,normal,62
APPLES,puff pastry,normal,62
APPLES,pumpkin,recommended,62
APPLES,quince,normal,62
APPLES,"raisins, esp. seedless, white",recommended,62
APPLES,rhubarb,normal,62
APPLES,rice and rice pudding,normal,62
APPLES,rosemary,normal,62
APPLES,"RUM: DARK, LIGHT",very_highly_recommended,62
APPLES,"salads: fruit, green",normal,62
APPLES,"salt, kosher",normal,62
APPLES,sauerkraut,normal,62
APPLES,sherry,recommended,62
APPLES,soups,normal,62
APPLES,sour cream,normal,62
APPLES,star anise,normal,63
APPLES,"SUGAR: BROWN, WHITE",very_highly_recommended,63
APPLES,sweet potatoes,recommended,63
APPLES,tarragon,normal,63
APPLES,tarts,normal,63
APPLES,thyme,normal,63
APPLES,vanilla,recommended,63
APPLES,verjus,normal,63
APPLES,vermouth,recommended,63
APPLES,"vinegar: apple cider, raspberry",normal,63
APPLES,WALNUTS,very_highly_recommended,63
APPLES,"wine: red, dry white",normal,63
APPLES,yogurt,normal,63
APRICOTS — IN GENERAL,allspice,normal,63
APRICOTS — IN GENERAL,ALMONDS,very_highly_recommended,63
APRICOTS — IN GENERAL,amaretto,normal,63
APRICOTS — IN GENERAL,anise,normal,64
APRICOTS — IN GENERAL,apples,recommended,64
